ticker,avg_signal,signal_std,min_signal,max_signal,dominant_category,article_count
ASML,0.3074776959443092,,0.3074776959443092,0.3074776959443092,Neutral,2
AXP,0.20911269594430923,,0.20911269594430923,0.20911269594430923,Neutral,2
BBD,0.1797519421663284,,0.1797519421663284,0.1797519421663284,Neutral,2
BABA,0.15470656408348082,0.26692216363111565,-0.24932996335983276,0.4047691959443092,Neutral,6
APA,0.13034045981899897,0.17442737084069662,-0.008106,0.3262496835126877,Neutral,4
AVB,0.11256948167991639,0.2128327512676094,-0.037925999999999994,0.26306496335983276,Neutral,3
BAC,0.1043994729721546,0.35600938043178465,-0.4058426959443092,0.3879271959443092,Neutral,5
BA,0.09656529729620615,0.10206869293711983,-0.0212415,0.1584996959443092,Neutral,4
AAPL,0.060049499999999985,,0.060049499999999985,0.060049499999999985,Neutral,2
AMD,0.04152373612531027,0.22632501906850408,-0.21953568351268768,0.18249369594430923,Neutral,4
AVGO,0.027625241675186134,0.24011035515662693,-0.24321168351268768,0.3100436959443092,Neutral,6
AZN,0.017922885197877908,0.4721784460642916,-0.31595769594430917,0.351803466340065,Neutral,3
AMGN,0.0160755,,0.0160755,0.0160755,Neutral,2
ABT,0.009923833333333335,0.19720469272471933,-0.3300926959443092,0.2828926959443092,Neutral,7
ACN,-0.025026749999999997,0.035393169272120856,-0.050053499999999994,0.0,Neutral,3
AMT,-0.08834303135871886,0.12493591308865185,-0.17668606271743773,0.0,Neutral,3
AMZN,-0.20279719594430926,,-0.20279719594430926,-0.20279719594430926,Neutral,2
ADBE,-0.2693921959443092,,-0.2693921959443092,-0.2693921959443092,Neutral,2
AEP,,,,,Strong Sell,1
